Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0JPW5	P49206	A0JPW5	RPS26A		T2P4.6	AT3G21490	AT2G40590	21798944:0018:HT|21798944:0397:HT
A0JPW5	Q6NPE9	A0JPW5	Q6NPE9			AT3G21490	AT4G33690	21798944:0018:HT|21798944:0397:HT
A0JPW5	Q9LVK6	A0JPW5	Q9LVK6			AT3G21490	AT3G13940	21798944:0018:HT|21798944:0397:HT
A0JQ66	Q9FGM1	A0JQ66	PYL8		MFH8.10	AT1G19040	AT5G53160	21798944:0018:HT|21798944:0397:HT
A0MEB5	C0LGW2	CYCA3-3	PAM74	F8G22.6	MTH12.9	AT1G47220	AT5G59650	24833385:0090:HT
A0MEB5	O64852	CYCA3-3	IQD6	F8G22.6		AT1G47220	AT2G26180	24833385:0090:HT
A0MEB5	Q9C7D7	CYCA3-3	Q9C7D7	F8G22.6	F28J15.3	AT1G47220	AT3G12180	24833385:0090:HT
A0MEB5	Q9LMN8	CYCA3-3	WAK3	F8G22.6	F16F4.8	AT1G47220	AT1G21240	24833385:0090:HT
A0MEB5	Q9LPN5	CYCA3-3	F18K10.26	F8G22.6		AT1G47220	AT3G10640	24833385:0090:HT
A0MEB5	Q9M092	CYCA3-3	WAKL17	F8G22.6	F6E21.20	AT1G47220	AT4G31100	24833385:0090:HT
A0MEB5	Q9SVG8	CYCA3-3	F21C20.140	F8G22.6		AT1G47220	AT4G20790	24833385:0090:HT
A1L4X0	A9X4U2	CLT2	3BETAHSD/D3	T22A6.290	T1O24.16	AT4G24460	AT2G43420	24833385:0090:HT
A1L4X0	Q1G3K7	CLT2	PRA1C	T22A6.290	T16L4.170	AT4G24460	AT4G29658	24833385:0090:HT
A1L4X0	Q29Q28	CLT2	UTR2	T22A6.290	F7H19.200	AT4G24460	AT4G23010	24833385:0090:HT
A1L4X0	Q39203	CLT2	SD22	T22A6.290	A_IG005I10.19|F5I10.19	AT4G24460	AT4G00340	24833385:0090:HT
A1L4X0	Q39241	CLT2	TRX5	T22A6.290	F27F5.21	AT4G24460	AT1G45145	24833385:0090:HT
A1L4X0	Q84MB5	CLT2	RBL11	T22A6.290	T5I5	AT4G24460	AT5G25752	24833385:0090:HT
A1L4X0	Q8GYH0	CLT2	Q8GYH0	T22A6.290	AT1G11940	AT4G24460	AT1G11940	24833385:0090:HT
A1L4X0	Q8VYS5	CLT2	TBL18	T22A6.290	T30C3.30	AT4G24460	AT4G25360	24833385:0090:HT
A1L4X0	Q940H3	CLT2	TBL36	T22A6.290	F24B22.220	AT4G24460	AT3G54260	24833385:0090:HT
A1L4X0	Q9SQT9	CLT2	AGP27	T22A6.290	F24P17.17	AT4G24460	AT3G06360	24833385:0090:HT
A2RVQ5	P29382	AGL16	SEP1	F28O9.80	F14F8_180	AT3G57230	AT5G15800	28650476:1356:LC|15805477:0018:LC
A2RVQ5	Q9SZJ6	AGL16	AGL21	F28O9.80	F20D10.60	AT3G57230	AT4G37940	28650476:1356:LC|15805477:0018:LC
A2RVT9	Q9FVU9	A2RVT9	CSN5A		F3I17.12	AT5G38890	AT1G71230	21798944:0018:HT|21798944:0397:HT
A2RVU1	Q8GWJ7	A2RVU1	CRK19		F21P8.160	AT1G31720	AT4G23270	24833385:0090:HT
A2RVU4	Q96321	A2RVU4	IMPA1		F3E22.14|T8E24.1	AT4G08910	AT3G06720	21798944:0018:HT|21798944:0397:HT
A2RVV7	Q84K25	FOLD1	Q84K25	T6A23.14		AT2G38660	AT5G11980	21798944:0018:HT|21798944:0397:HT
A7RED0	A8MR80	A7RED0	A8MR80			AT1G57760	AT4G30845	24833385:0090:HT
A7RED0	F4KIB2	A7RED0	TMN8		T30N20_110	AT1G57760	AT5G10840	24833385:0090:HT
A7RED0	Q9SR93	A7RED0	Q9SR93		T16O11.13	AT1G57760	AT3G08930	24833385:0090:HT
A7WM73	Q84WV8	HEXO1	NAPRT2	T26I12.140	F26B6.7	AT3G55260	AT2G23420	21798944:0397:HT
A8MQG7	Q38951	ASK20	PP2AA3	F4I18.7	T6J4.8	AT2G45950	AT1G13320	21798944:0018:HT|21798944:0397:HT
A8MQG7	Q93Z00	ASK20	TCP14	F4I18.7	F1P2.170	AT2G45950	AT3G47620	21798944:0018:HT|21798944:0397:HT
A8MQG7	Q9FI70	ASK20	Q9FI70	F4I18.7	K19E20.13	AT2G45950	AT5G49000	21798944:0018:HT|21798944:0397:HT
A8MQG7	Q9FL82	ASK20	Q9FL82	F4I18.7	K3K3.16	AT2G45950	AT5G39250	21798944:0018:HT|21798944:0397:HT
A8MQG7	Q9M310	ASK20	Q9M310	F4I18.7	F2A19.190	AT2G45950	AT3G61590	21798944:0018:HT|21798944:0397:HT
A8MQG7	Q9ZUI4	ASK20	T2K10.14	F4I18.7		AT2G45950	AT1G60080	21798944:0018:HT|21798944:0397:HT
A8MQJ8	P14712	A8MQJ8	PHYA		F14J9.23	AT2G37680	AT1G09570	16332538:0018:LC|16861711:0018:LC|16332538:0096:LC|17160561:0018:LC
A8MR65	P14712	FHL	PHYA		F14J9.23	AT5G02200	AT1G09570	19208901:0090:LC|21969386:0018:LC|21884939:0018:LC|16861711:0018:LC|16861711:0416:LC|19403732:0018:LC|17160561:0018:LC|19208901:0004:LC|16861711:0096:LC
A8MR80	O22845	A8MR80	CML5		F14B2.33|T1O24.3	AT4G30845	AT2G43290	24833385:0090:HT
A8MR80	P57752	A8MR80	ACBP6		F5M6.27	AT4G30845	AT1G31812	24833385:0090:HT
A8MR80	Q940H3	A8MR80	TBL36		F24B22.220	AT4G30845	AT3G54260	24833385:0090:HT
A8MR80	Q9C7D7	A8MR80	Q9C7D7		F28J15.3	AT4G30845	AT3G12180	24833385:0090:HT
A8MR80	Q9FJB4	A8MR80	Q9FJB4			AT4G30845	AT5G35460	24833385:0090:HT
A8MR80	Q9LD40	A8MR80	CNGC13		F3I3.1	AT4G30845	AT4G01010	24833385:0090:HT
A8MR80	Q9LMA2	A8MR80	T29M8.11			AT4G30845	AT1G19240	24833385:0090:HT
A8MR80	Q9M9S6	A8MR80	UTR3		F14L17.13	AT4G30845	AT1G14360	24833385:0090:HT
A8MRC8	O04378	A8MRC8	SYP23	K18B18.13|MNC17.23	DL4901W|FCAALL.117	AT5G59105	AT4G17730	21952135:0018:HT
A8MS68	Q9SQI8	LPD1	LTA2	K14A17.6	MPE11.1	AT3G16950	AT3G25860	21798944:0018:HT|21798944:0397:HT
A8R7E6	A8R7E6	CERK1	CERK1	MIL23.20	MIL23.20	AT3G21630	AT3G21630	25340959:0004:LC|25340959:0415:LC|22654057:0096:LC|25070640:0090:LC|22654057:0077:LC|22654057:0007:LC|22654057:0071:LC|25070640:0004:LC
A8R7E6	Q1H5D2	CERK1	Q1H5D2	MIL23.20		AT3G21630	AT4G16444	24833385:0090:HT
A8R7E6	Q8GXE6	CERK1	AKT6	MIL23.20	F3N11.5	AT3G21630	AT2G25600	24833385:0090:HT
A8R7E6	Q8L709	CERK1	CHX28	MIL23.20	F4F15.190	AT3G21630	AT3G52080	24833385:0090:HT
A8R7E6	Q944Q0	CERK1	WNK8	MIL23.20	MJC20.9	AT3G21630	AT5G41990	24833385:0090:HT
A8R7E6	Q9C7D7	CERK1	Q9C7D7	MIL23.20	F28J15.3	AT3G21630	AT3G12180	24833385:0090:HT
A8R7E6	Q9SYT0	CERK1	ANN1	MIL23.20	F14D7.2	AT3G21630	AT1G35720	24833385:0090:HT
A8R7E6	Q9XIW0	CERK1	CIPK7	MIL23.20	MXC7.3	AT3G21630	AT3G23000	24833385:0090:HT
A9LNK9	A9LNK9	CPSF30	CPSF30	F26G16.5|F26G16.6	F26G16.5|F26G16.6	AT1G30460	AT1G30460	19748916:0004:LC|16897494:0018:LC|18479511:0018:LC|19748916:0018:LC
A9LNK9	F4KDH9	CPSF30	FIPS5	F26G16.5|F26G16.6		AT1G30460	AT5G58040	16282318:0018:LC|16282318:0096:LC|17576667:0018:LC|18479511:0018:LC
A9LNK9	O82312	CPSF30	PAPS2	F26G16.5|F26G16.6	F17H15.12	AT1G30460	AT2G25850	16897494:0018:LC|18479511:0018:LC|16897494:0096:LC
A9LNK9	Q56XM9	CPSF30	PAPS3	F26G16.5|F26G16.6	F5E6.11	AT1G30460	AT3G06560	16897494:0018:LC|18479511:0018:LC
A9LNK9	Q9FGR0	CPSF30	CPSF160	F26G16.5|F26G16.6	K17N15.21	AT1G30460	AT5G51660	16897494:0018:LC|18479511:0018:LC|19748916:0018:LC
A9LNK9	Q9LKF9	CPSF30	CPSF100	F26G16.5|F26G16.6	MRO11.8	AT1G30460	AT5G23880	16897494:0018:LC|16897494:0096:LC|19748916:0018:LC|18479511:0018:LC
A9LNK9	Q9SR06	CPSF30	CLPS3	F26G16.5|F26G16.6	F7O18.15	AT1G30460	AT3G04680	18479511:0018:LC|19748916:0018:LC
A9X4U2	C0LGL4	3BETAHSD/D3	C0LGL4	T1O24.16	T9I4.4	AT2G43420	AT2G28960	24833385:0090:HT
A9X4U2	C0LGQ5	3BETAHSD/D3	GSO1	T1O24.16	F1C12.60	AT2G43420	AT4G20140	24833385:0090:HT
A9X4U2	C0LGQ9	3BETAHSD/D3	C0LGQ9	T1O24.16	T13K14.100	AT2G43420	AT4G20940	24833385:0090:HT
A9X4U2	C0LGX3	3BETAHSD/D3	HSL2	T1O24.16	F6H11.160|MPA24.6	AT2G43420	AT5G65710	24833385:0090:HT
A9X4U2	F4IBA7	3BETAHSD/D3	F4IBA7	T1O24.16		AT2G43420	AT1G52155	24833385:0090:HT
A9X4U2	F4IPZ4	3BETAHSD/D3	F4IPZ4	T1O24.16		AT2G43420	AT2G37050	24833385:0090:HT
A9X4U2	F4IZC0	3BETAHSD/D3	F4IZC0	T1O24.16		AT2G43420	AT3G50190	24833385:0090:HT
A9X4U2	O64636	3BETAHSD/D3	CYP76C1	T1O24.16	F17K2.9	AT2G43420	AT2G45560	24833385:0090:HT
A9X4U2	O80611	3BETAHSD/D3	O80611	T1O24.16		AT2G43420	AT2G02960	24833385:0090:HT
A9X4U2	P93004	3BETAHSD/D3	PIP2-7	T1O24.16	M4E13.150	AT2G43420	AT4G35100	24833385:0090:HT
A9X4U2	Q08733	3BETAHSD/D3	PIP1-3	T1O24.16	F22L4.16	AT2G43420	AT1G01620	24833385:0090:HT
A9X4U2	Q0WSW1	3BETAHSD/D3	Q0WSW1	T1O24.16		AT2G43420	AT4G26580	24833385:0090:HT
A9X4U2	Q1PE48	3BETAHSD/D3	CDS3	T1O24.16	F10M23.110	AT2G43420	AT4G26770	24833385:0090:HT
A9X4U2	Q27GL4	3BETAHSD/D3	Q27GL4	T1O24.16		AT2G43420	AT2G07773	24833385:0090:HT
A9X4U2	Q39165	3BETAHSD/D3	Q39165	T1O24.16	MPO12.17	AT2G43420	AT5G40420	24833385:0090:HT
A9X4U2	Q39258	3BETAHSD/D3	VHA-E1	T1O24.16	F2P3.10|T22B4.130	AT2G43420	AT4G11150	24833385:0090:HT
A9X4U2	Q3E912	3BETAHSD/D3	Q3E912	T1O24.16		AT2G43420	AT5G27370	24833385:0090:HT
A9X4U2	Q3EDH8	3BETAHSD/D3	CLE3	T1O24.16	F9P14	AT2G43420	AT1G06225	24833385:0090:HT
A9X4U2	Q494N8	3BETAHSD/D3	Q494N8	T1O24.16		AT2G43420	AT2G25890	24833385:0090:HT
A9X4U2	Q6DR41	3BETAHSD/D3	Q6DR41	T1O24.16		AT2G43420	AT2G41610	24833385:0090:HT
A9X4U2	Q6NKQ5	3BETAHSD/D3	Q6NKQ5	T1O24.16		AT2G43420	AT2G01275	24833385:0090:HT
A9X4U2	Q8GUN1	3BETAHSD/D3	Q8GUN1	T1O24.16		AT2G43420	AT4G31340	24833385:0090:HT
A9X4U2	Q8GWI3	3BETAHSD/D3	Q8GWI3	T1O24.16		AT2G43420	AT4G22830	24833385:0090:HT
A9X4U2	Q8H199	3BETAHSD/D3	CRK14	T1O24.16	F21P8.110	AT2G43420	AT4G23220	24833385:0090:HT
A9X4U2	Q8LBL1	3BETAHSD/D3	TPK1	T1O24.16	MDF20.7	AT2G43420	AT5G55630	24833385:0090:HT
A9X4U2	Q8RWW0	3BETAHSD/D3	ALE2	T1O24.16	F11A3.15	AT2G43420	AT2G20300	24833385:0090:HT
A9X4U2	Q8RWW1	3BETAHSD/D3	TMN10	T1O24.16	F27D4.8	AT2G43420	AT2G24170	24833385:0090:HT
A9X4U2	Q8VY23	3BETAHSD/D3	Q8VY23	T1O24.16		AT2G43420	AT4G32600	24833385:0090:HT
A9X4U2	Q8VY59	3BETAHSD/D3	Q8VY59	T1O24.16		AT2G43420	AT3G27200	24833385:0090:HT
A9X4U2	Q8VY69	3BETAHSD/D3	VAMP723	T1O24.16	F25I18.15	AT2G43420	AT2G33110	24833385:0090:HT
A9X4U2	Q8VZC2	3BETAHSD/D3	T30F21.17	T1O24.16		AT2G43420	AT1G78490	24833385:0090:HT
A9X4U2	Q945Q2	3BETAHSD/D3	Q945Q2	T1O24.16		AT2G43420	AT3G59090	24833385:0090:HT
A9X4U2	Q94C77	3BETAHSD/D3	Q94C77	T1O24.16	F10M10.12|F28A23_20	AT2G43420	AT4G34220	24833385:0090:HT
A9X4U2	Q96285	3BETAHSD/D3	LECRK55	T1O24.16	T16L24.250	AT2G43420	AT3G59700	24833385:0090:HT
A9X4U2	Q9C8J8	3BETAHSD/D3	ABCG13	T1O24.16	F5D21.8	AT2G43420	AT1G51460	24833385:0090:HT
A9X4U2	Q9C8K2	3BETAHSD/D3	ABCG12	T1O24.16	F5D21.6	AT2G43420	AT1G51500	24833385:0090:HT
A9X4U2	Q9C8M9	3BETAHSD/D3	SRF6	T1O24.16	F22G10.3|F22G10.31	AT2G43420	AT1G53730	24833385:0090:HT
A9X4U2	Q9CAL3	3BETAHSD/D3	CRK2	T1O24.16	F24J13.9	AT2G43420	AT1G70520	24833385:0090:HT
A9X4U2	Q9FG72	3BETAHSD/D3	OPT1	T1O24.16	MYN21.4	AT2G43420	AT5G55930	24833385:0090:HT
A9X4U2	Q9FG89	3BETAHSD/D3	PNSB5	T1O24.16	MQD19.9	AT2G43420	AT5G43750	24833385:0090:HT
A9X4U2	Q9FH21	3BETAHSD/D3	DTX55	T1O24.16	K20J1.11	AT2G43420	AT5G49130	24833385:0090:HT
A9X4U2	Q9FJ77	3BETAHSD/D3	AT6	T1O24.16	MTE17.4	AT2G43420	AT5G55330	24833385:0090:HT
A9X4U2	Q9FJH7	3BETAHSD/D3	NRT2.3	T1O24.16	MAE1.3|MAE1.4	AT2G43420	AT5G60780	24833385:0090:HT
A9X4U2	Q9FVV9	3BETAHSD/D3	NAP5	T1O24.16	F3I17.2	AT2G43420	AT1G71330	24833385:0090:HT
A9X4U2	Q9LF32	3BETAHSD/D3	T20K14_110	T1O24.16		AT2G43420	AT5G15500	24833385:0090:HT
A9X4U2	Q9LFG8	3BETAHSD/D3	ABCG20	T1O24.16	F4P12.210	AT2G43420	AT3G53510	24833385:0090:HT
A9X4U2	Q9LNK7	3BETAHSD/D3	Q9LNK7	T1O24.16	F12K21.21|F7P12.17	AT2G43420	AT1G34470	24833385:0090:HT
A9X4U2	Q9LPR6	3BETAHSD/D3	TET11	T1O24.16	F15H18.1	AT2G43420	AT1G18520	24833385:0090:HT
A9X4U2	Q9LRJ9	3BETAHSD/D3	CRRSP38	T1O24.16	MZN24.26	AT2G43420	AT3G22060	24833385:0090:HT
A9X4U2	Q9LUH2	3BETAHSD/D3	DTX19	T1O24.16	MDB19.4	AT2G43420	AT3G23560	24833385:0090:HT
A9X4U2	Q9LYI6	3BETAHSD/D3	F14F18_40	T1O24.16		AT2G43420	AT5G11870	24833385:0090:HT
A9X4U2	Q9LZQ0	3BETAHSD/D3	Q9LZQ0	T1O24.16	T12C14_100	AT2G43420	AT3G62400	24833385:0090:HT
A9X4U2	Q9MA83	3BETAHSD/D3	T12H1.33	T1O24.16		AT2G43420	AT3G05360	24833385:0090:HT
A9X4U2	Q9S7I6	3BETAHSD/D3	RPK2	T1O24.16	F14P3.22|F1C9.8	AT2G43420	AT3G02130	24833385:0090:HT
A9X4U2	Q9SA06	3BETAHSD/D3	F28K20.6	T1O24.16		AT2G43420	AT1G31130	24833385:0090:HT
A9X4U2	Q9SD79	3BETAHSD/D3	F13G24.250	T1O24.16		AT2G43420	AT5G08050	24833385:0090:HT
A9X4U2	Q9SLC0	3BETAHSD/D3	Q9SLC0	T1O24.16		AT2G43420	AT2G42390	24833385:0090:HT
A9X4U2	Q9SR93	3BETAHSD/D3	Q9SR93	T1O24.16	T16O11.13	AT2G43420	AT3G08930	24833385:0090:HT
A9X4U2	Q9SX98	3BETAHSD/D3	AATL1	T1O24.16	F16N3.4	AT2G43420	AT1G47670	24833385:0090:HT
A9X4U2	Q9SY38	3BETAHSD/D3	T5L23.9	T1O24.16		AT2G43420	AT4G03600	24833385:0090:HT
A9X4U2	Q9ZR79	3BETAHSD/D3	LECRK57	T1O24.16	F24G16.10|T16L24.290	AT2G43420	AT3G59740	24833385:0090:HT
A9X4U2	Q9ZUT3	3BETAHSD/D3	ALS3	T1O24.16	F3G5.12	AT2G43420	AT2G37330	24833385:0090:HT
A9X4U2	Q9ZVH5	3BETAHSD/D3	DTX53	T1O24.16	T6A23.29	AT2G43420	AT2G38510	24833385:0090:HT
A9X4U2	Q9ZW05	3BETAHSD/D3	Q9ZW05	T1O24.16		AT2G43420	AT2G29180	24833385:0090:HT
A9X4U2	W8QPD2	3BETAHSD/D3	W8QPD2	T1O24.16	AT4G39350	AT2G43420		24833385:0090:HT
B0F481	B0F481	BIO3-BIO1	BIO3-BIO1	MUA2.17/MUA2.18	MUA2.17/MUA2.18	AT5G57590	AT5G57590	22547782:0114:LC
B2CJ88	P0CB21	APE2	P0CB21		M3E9.120		AT4G26450	21798944:0018:HT
B2CJ88	Q8VZ95	APE2	PVA11		T4C21.10		AT3G60600	21798944:0018:HT
B3H5A8	Q93WJ9	RVE7	KAN1	F15H18.16	MQK4.31	AT1G18330	AT5G16560	21798944:0018:HT|21798944:0397:HT
B3H5J1	C0LGR3	RGF5	C0LGR3	MFG13	M3E9.30	LOCUS:4515103716	AT4G26540	PDB_5HZ3:0114:LC
B3H7D4	F4JL11	B3H7D4	IMPA2			AT4G35110	AT4G16143	21798944:0018:HT|21798944:0397:HT
B3H7D4	O49627	B3H7D4	ISU1		T10I14.50	AT4G35110	AT4G22220	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q0V802	B3H7D4	Q0V802			AT4G35110	AT5G65400	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q0WQX9	B3H7D4	Q0WQX9			AT4G35110	AT5G65683	21798944:0018:HT
B3H7D4	Q8GY95	B3H7D4	Q8GY95			AT4G35110		21798944:0397:HT
B3H7D4	Q8L795	B3H7D4	Q8L795			AT4G35110	AT3G20260	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q8L9Y3	B3H7D4	ARR14		T8O11.7	AT4G35110	AT2G01760	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q93W28	B3H7D4	Q93W28		DL3810W|FCAALL.328	AT4G35110	AT4G15545	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q946J8	B3H7D4	LHP1		MVA3.4	AT4G35110	AT5G17690	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q94AC4	B3H7D4	Q94AC4			AT4G35110		21798944:0397:HT
B3H7D4	Q9LKJ1	B3H7D4	CHY1		K14B20.11	AT4G35110	AT5G65940	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q9SA55	B3H7D4	F10O3.3			AT4G35110	AT1G03140	21798944:0018:HT|21798944:0397:HT
B3H7D4	Q9SL90	B3H7D4	Q9SL90			AT4G35110	AT2G25730	21798944:0018:HT
B3H7D4	Q9ZUJ2	B3H7D4	T2K10.6			AT4G35110	AT1G60010	21798944:0018:HT|21798944:0397:HT
B3LFC8	P18064	B3LFC8	GPA1		T1D16.6	AT5G24620	AT2G26300	21952135:0018:HT
B3LFC8	P49177	B3LFC8	GB1		T4L20.40	AT5G24620	AT4G34460	21952135:0018:HT
B3LFC8	Q8W108	B3LFC8	ARD3		DL3395C|FCAALL.141	AT5G24620	AT4G14710	21952135:0018:HT
B5X0N6	O64852	KEA6	IQD6	T22P22.190		AT5G11800	AT2G26180	24833385:0090:HT
B5X0N6	Q8LD98	KEA6	Q8LD98	T22P22.190		AT5G11800	AT1G65690	24833385:0090:HT
B5X0N6	Q8RYE2	KEA6	Q8RYE2	T22P22.190		AT5G11800	AT2G41705	24833385:0090:HT
B5X0N6	Q9AST5	KEA6	Q9AST5	T22P22.190		AT5G11800	AT5G49540	24833385:0090:HT
B5X0N6	Q9FNH6	KEA6	NHL3	T22P22.190	MHF15.16	AT5G11800	AT5G06320	24833385:0090:HT
B5X0N6	Q9LYI4	KEA6	F14F18_60	T22P22.190		AT5G11800	AT5G11890	24833385:0090:HT
B5X0N6	Q9M2Z4	KEA6	MSBP2	T22P22.190	T21J18.160	AT5G11800	AT3G48890	24833385:0090:HT
B5X0N6	Q9SHI7	KEA6	UBC34	T22P22.190	F20D23.1	AT5G11800	AT1G17280	24833385:0090:HT
B5X0N6	Q9SX96	KEA6	F16N3.6	T22P22.190		AT5G11800	AT1G47640	24833385:0090:HT
B7ZWR7	Q9LW08	B7ZWR7	Q9LW08			AT1G22460	AT3G15710	24833385:0090:HT
B8XCH5	Q8RWZ1	QKY	SUB	F1M20.40|F25A4.30	T19D16.1|T19D16.8|T28P6.18	AT1G74720	AT1G11130	24173806:0018:LC|25256344:0055:LC|25256344:0018:LC
B9DFE0	O24408	B9DFE0	IAA18		T14L22.14		AT1G51950	21798944:0018:HT
B9DFE0	P49677	B9DFE0	IAA1		DL3320W|FCAALL.409		AT4G14560	21798944:0018:HT
B9DFE0	Q05762	B9DFE0	THY-1		F16F14.13		AT2G16370	21798944:0018:HT
B9DFE0	Q84MB2	B9DFE0	TIFY8		F4D11.230		AT4G32570	21798944:0018:HT
B9DFE0	Q8LJT8	B9DFE0	TKI1		T1J8.14		AT2G36960	21798944:0018:HT
B9DFE0	Q93Z00	B9DFE0	TCP14		F1P2.170		AT3G47620	21798944:0018:HT
B9DFE0	Q9C8P0	B9DFE0	EMB3003		F12K21.24|F7P12.2		AT1G34430	21798944:0018:HT
B9DFE0	Q9CA32	B9DFE0	T26J14.6				AT1G68490	21798944:0018:HT
B9DFG5	Q9FNR3	PTI13	EXO70E2	F25L23.210		AT3G59350	AT5G61010	21798944:0018:HT|21798944:0397:HT
B9DFG5	Q9SV69	PTI13	Q9SV69	F25L23.210		AT3G59350	AT4G13000	21798944:0018:HT|21798944:0397:HT
B9DFI3	Q9C942	B9DFI3	CSE		F14G24.3	AT4G37550	AT1G52760	21952135:0018:HT
B9DFI7	F4JN35	B9DFI7	NTL9	T2P11.4	F8D20.90	AT1G26850	AT4G35580	21798944:0018:HT|21798944:0397:HT
B9DFI7	Q8VZW1	B9DFI7	NIP1-1	T2P11.4	F13C5.200	AT1G26850	AT4G19030	21798944:0018:HT|21798944:0397:HT
B9DFI7	Q94F58	B9DFI7	NAC089	T2P11.4	MWD9.7|T6G21.9	AT1G26850	AT5G22290	21798944:0018:HT|21798944:0397:HT
B9DG13	O04326	B9DG13	NUP35		T02O04.20		AT3G16310	21798944:0018:HT
B9DG13	P0CB21	B9DG13	P0CB21		M3E9.120		AT4G26450	21798944:0018:HT
B9DG13	Q8VZ95	B9DG13	PVA11		T4C21.10		AT3G60600	21798944:0018:HT
B9DG13	Q8VZW1	B9DG13	NIP1-1		F13C5.200		AT4G19030	21798944:0018:HT
B9DG13	Q9FZK5	B9DG13	Q9FZK5				AT1G27300	21798944:0018:HT
B9DG73	O82240	B9DG73	O82240			AT3G11930	AT2G47710	21798944:0018:HT|21798944:0397:HT
B9DG91	F4IHS9	B9DG91	UXT1		AT2G28315.1	AT3G13950	AT2G28315	24833385:0090:HT
B9DG91	F4J6B8	B9DG91	F4J6B8			AT3G13950	AT3G11530	24833385:0090:HT
B9DG91	O64852	B9DG91	IQD6			AT3G13950	AT2G26180	24833385:0090:HT
B9DG91	Q1JPM5	B9DG91	Q1JPM5			AT3G13950	AT4G17430	24833385:0090:HT
B9DG91	Q2HIM5	B9DG91	Q2HIM5		F12E4	AT3G13950	AT5G03345	24833385:0090:HT
B9DG91	Q6NQ51	B9DG91	Q6NQ51			AT3G13950	AT1G14020	24833385:0090:HT
B9DG91	Q84N34	B9DG91	HHP2		F6I18.240	AT3G13950	AT4G30850	24833385:0090:HT
B9DG91	Q8GW19	B9DG91	FACE2		F2H17	AT3G13950	AT2G36305	24833385:0090:HT
B9DG91	Q8H129	B9DG91	PAP3		F10B6.10	AT3G13950	AT1G14700	24833385:0090:HT
B9DG91	Q8RY98	B9DG91	Q8RY98			AT3G13950	AT1G07860	24833385:0090:HT
B9DG91	Q94K72	B9DG91	Q94K72			AT3G13950	AT1G16170	24833385:0090:HT
B9DG91	Q94K74	B9DG91	Q94K74			AT3G13950	AT3G25805	24833385:0090:HT
B9DG91	Q9AST5	B9DG91	Q9AST5			AT3G13950	AT5G49540	24833385:0090:HT
B9DG91	Q9C835	B9DG91	CYP21-4		T8E24.14	AT3G13950	AT3G66654	24833385:0090:HT
B9DG91	Q9CAC5	B9DG91	NDHL		F15H11.1|F5A18.6	AT3G13950	AT1G70760	24833385:0090:HT
B9DG91	Q9FNH6	B9DG91	NHL3		MHF15.16	AT3G13950	AT5G06320	24833385:0090:HT
B9DG91	Q9LHA6	B9DG91	Q9LHA6			AT3G13950	AT3G28220	24833385:0090:HT
B9DG91	Q9LNM6	B9DG91	Q9LNM6			AT3G13950	AT1G34640	24833385:0090:HT
B9DG91	Q9LSP7	B9DG91	UBC32		K14A17.7	AT3G13950	AT3G17000	24833385:0090:HT
B9DG91	Q9LVU1	B9DG91	PVA21		MQL5.3	AT3G13950	AT5G47180	24833385:0090:HT
B9DG91	Q9LYI4	B9DG91	F14F18_60			AT3G13950	AT5G11890	24833385:0090:HT
B9DG91	Q9M132	B9DG91	Q9M132			AT3G13950	AT4G01410	24833385:0090:HT
B9DG91	Q9M2Z4	B9DG91	MSBP2		T21J18.160	AT3G13950	AT3G48890	24833385:0090:HT
B9DG91	Q9SHI7	B9DG91	UBC34		F20D23.1	AT3G13950	AT1G17280	24833385:0090:HT
B9DG91	Q9SR93	B9DG91	Q9SR93		T16O11.13	AT3G13950	AT3G08930	24833385:0090:HT
B9DG91	Q9SX96	B9DG91	F16N3.6			AT3G13950	AT1G47640	24833385:0090:HT
B9DG91	Q9SZG0	B9DG91	HHP4		F19F18.170	AT3G13950	AT4G37680	24833385:0090:HT
B9DGI8	B9DGI8	BZIP63	BZIP63	T32B20.4	T32B20.4	AT5G28770	AT5G28770	19033529:0809:LC|15469500:0090:LC|16709202:0018:LC|15469500:0018:LC
B9DGI8	C0Z2L5	BZIP63	BZIP44	T32B20.4		AT5G28770	AT1G75390	28650476:1356:LC|16709202:0018:LC
B9DGI8	O22763	BZIP63	BZIP10	T32B20.4	T10P11.9	AT5G28770	AT4G02640	28650476:1356:LC|16709202:0018:LC
B9DGI8	O65683	BZIP63	T4L20.170	T32B20.4		AT5G28770	AT4G34590	28650476:1356:LC|16709202:0018:LC
B9DGI8	Q8LAZ7	BZIP63	CSN5B	T32B20.4	F19G10.12	AT5G28770	AT1G22920	21798944:0018:HT|21798944:0397:HT
B9DGI8	Q8LBP6	BZIP63	FTRA2	T32B20.4		AT5G28770	AT5G08410	21798944:0018:HT|21798944:0397:HT
B9DGI8	Q9FGX2	BZIP63	BZIP1	T32B20.4	K7J8.13	AT5G28770	AT5G49450	28650476:1356:LC|16709202:0018:LC
